LLM,Role,Job_ID,Score
GPT,Recruiter,Job_1,9
GPT,Recruiter,Job_2,10
GPT,Recruiter,Job_3,7
Claude,Recruiter,Job_1,8
Claude,Recruiter,Job_2,9
Claude,Recruiter,Job_3,7
Claude,Recruiter,Job_4,5
Claude,Recruiter,Job_5,5
Claude,Recruiter,Job_6,6
Claude,Recruiter,Job_7,4
Claude,Recruiter,Job_8,5
Claude,Recruiter,Job_9,5
Claude,Recruiter,Job_10,2
Claude,Recruiter,Job_11,3
Claude,Recruiter,Job_12,6
Claude,Recruiter,Job_13,3
Claude,Recruiter,Job_14,4
Claude,Recruiter,Job_15,7
Claude,Recruiter,Job_16,6
Claude,Recruiter,Job_17,8
Claude,Recruiter,Job_18,4
Claude,Recruiter,Job_19,5
Claude,Recruiter,Job_20,4
Claude,Recruiter,Job_21,1
Claude,Recruiter,Job_22,2
Claude,Recruiter,Job_23,6
Claude,Recruiter,Job_24,6
Claude,Applicant,Job_1,7
Claude,Applicant,Job_2,8
Claude,Applicant,Job_3,5
Claude,Applicant,Job_4,4
Claude,Applicant,Job_5,4
Claude,Applicant,Job_6,5
Claude,Applicant,Job_7,4
Claude,Applicant,Job_8,5
Claude,Applicant,Job_9,3
Claude,Applicant,Job_10,2
Claude,Applicant,Job_11,3
Claude,Applicant,Job_12,5
Claude,Applicant,Job_13,3
Claude,Applicant,Job_14,4
Claude,Applicant,Job_15,6
Claude,Applicant,Job_16,6
Claude,Applicant,Job_17,8
Claude,Applicant,Job_18,5
Claude,Applicant,Job_19,4
Claude,Applicant,Job_20,3
Claude,Applicant,Job_21,1
Claude,Applicant,Job_22,2
Claude,Applicant,Job_23,5
Claude,Applicant,Job_24,6
GPT,Recruiter,Job_4,3
GPT,Recruiter,Job_5,8
GPT,Recruiter,Job_6,7
GPT,Recruiter,Job_7,6
GPT,Recruiter,Job_8,8
GPT,Recruiter,Job_9,3
GPT,Recruiter,Job_10,8
GPT,Recruiter,Job_11,4
GPT,Recruiter,Job_12,7
GPT,Recruiter,Job_13,6
GPT,Recruiter,Job_14,8
GPT,Recruiter,Job_15,9
GPT,Recruiter,Job_16,8
GPT,Recruiter,Job_17,10
GPT,Recruiter,Job_18,6
GPT,Recruiter,Job_19,8
GPT,Recruiter,Job_20,7
GPT,Recruiter,Job_21,4
GPT,Recruiter,Job_22,9
GPT,Recruiter,Job_23,9
GPT,Recruiter,Job_24,9
GPT,Applicant,Job_1,8
GPT,Applicant,Job_2,10
GPT,Applicant,Job_3,7
GPT,Applicant,Job_4,6
GPT,Applicant,Job_5,9
GPT,Applicant,Job_6,7.5
GPT,Applicant,Job_7,7
GPT,Applicant,Job_8,8
GPT,Applicant,Job_9,6
GPT,Applicant,Job_10,7
GPT,Applicant,Job_11,4
GPT,Applicant,Job_12,7
GPT,Applicant,Job_13,6
GPT,Applicant,Job_14,9
GPT,Applicant,Job_15,10
GPT,Applicant,Job_16,9
GPT,Applicant,Job_17,10
GPT,Applicant,Job_18,6
GPT,Applicant,Job_19,9
GPT,Applicant,Job_20,9
GPT,Applicant,Job_21,5
GPT,Applicant,Job_22,3
GPT,Applicant,Job_23,9
GPT,Applicant,Job_24,9
